Team Rating: 11, Threat Score: 798, lapras, obstagoon, snorlax, Grades : D, B, B, A
Team Rating: 11, Threat Score: 798, abomasnow, muk_alolan, registeel, Grades : D, B, B, A
Team Rating: 11, Threat Score: 797, lapras, obstagoon, registeel, Grades : D, A, C, A
Team Rating: 11, Threat Score: 792, abomasnow, lapras, snorlax, Grades : D, B, B, A
Team Rating: 11, Threat Score: 787, abomasnow, articuno, cresselia, Grades : D, A, B, B
Team Rating: 11, Threat Score: 786, articuno, cresselia, togekiss, Grades : D, A, B, B
Team Rating: 11, Threat Score: 784, articuno, perrserker, registeel, Grades : D, B, B, A
Team Rating: 11, Threat Score: 781, lapras, muk_alolan, snorlax, Grades : D, B, B, A
Team Rating: 11, Threat Score: 780, abomasnow, articuno, registeel, Grades : D, B, B, A
Team Rating: 11, Threat Score: 777, abomasnow, cresselia, perrserker, Grades : D, B, B, A
Team Rating: 11, Threat Score: 776, lapras, muk_alolan, obstagoon, Grades : D, B, B, A
Team Rating: 11, Threat Score: 765, machamp, obstagoon, registeel, Grades : D, B, B, A
Team Rating: 11, Threat Score: 763, giratina_altered, giratina_origin, snorlax, Grades : D, B, B, A
Team Rating: 11, Threat Score: 759, giratina_altered, giratina_origin, mewtwo_armored, Grades : D, B, B, A
Team Rating: 11, Threat Score: 757, cresselia, muk_alolan, perrserker, Grades : D, B, B, A
Team Rating: 11, Threat Score: 753, cresselia, perrserker, togekiss, Grades : D, B, B, A
Team Rating: 11, Threat Score: 745, abomasnow, cresselia, obstagoon, Grades : D, B, B, A
Team Rating: 11, Threat Score: 744, registeel, snorlax, swampert, Grades : D, B, B, A
Team Rating: 11, Threat Score: 743, cresselia, melmetal, registeel, Grades : D, A, B, B
Team Rating: 11, Threat Score: 740, cresselia, lapras, togekiss, Grades : D, A, B, B
Team Rating: 11, Threat Score: 739, giratina_altered, giratina_origin, muk_alolan, Grades : D, B, B, A
Team Rating: 11, Threat Score: 738, lapras, obstagoon, swampert, Grades : D, B, B, A
Team Rating: 11, Threat Score: 736, cresselia, obstagoon, togekiss, Grades : D, B, B, A
Team Rating: 11, Threat Score: 732, articuno, cresselia, muk_alolan, Grades : D, A, B, B
Team Rating: 11, Threat Score: 732, articuno, cresselia, lapras, Grades : D, A, B, B
Team Rating: 11, Threat Score: 731, articuno, giratina_altered, togekiss, Grades : C, B, B, B
Team Rating: 11, Threat Score: 730, obstagoon, registeel, togekiss, Grades : C, B, C, A
